name_launch,date_utc,success,payloads,rocket,upcoming,launchpad,name_payload,mass_kg,type,orbit,customers
CRS-21,2020-12-06 16:17:00+00:00,True,5eb0e4d3b6c3bb0006eeb262,5e9d0d95eda69973a809d1ec,False,5e9e4502f509094188566f88,CRS-21,2972.0,Dragon 2.0,ISS,NASA (CRS)
SXM-7,2020-12-13 17:30:00+00:00,True,5eb0e4d2b6c3bb0006eeb25d,5e9d0d95eda69973a809d1ec,False,5e9e4501f509094ba4566f84,SXM-7,7000.0,Satellite,GTO,SiriusXM
NROL-108,2020-12-19 14:00:00+00:00,True,5f839ac7818d8b59f5740d48,5e9d0d95eda69973a809d1ec,False,5e9e4502f509094188566f88,NROL-108,4701.5,Satellite,Unknown,National Reconnaissance Office
Turksat 5A,2021-01-08 02:15:00+00:00,True,5eb0e4d3b6c3bb0006eeb264,5e9d0d95eda69973a809d1ec,False,5e9e4501f509094ba4566f84,Turksat 5A,3500.0,Satellite,GTO,Turksat
Starlink-16 (v1.0),2021-01-20 13:02:00+00:00,True,5fbfedba54ceb10a5664c813,5e9d0d95eda69973a809d1ec,False,5e9e4502f509094188566f88,Starlink-16,15600.0,Satellite,VLEO,SpaceX
Transporter-1,2021-01-24 15:00:00+00:00,True,5fd3871a7faea57d297c86c6,5e9d0d95eda69973a809d1ec,False,5e9e4501f509094ba4566f84,Transporter-1,4701.5,Satellite,SSO,
Starlink-18 (v1.0),2021-02-04 06:19:00+00:00,True,5ff655769257f579ee3a6c64,5e9d0d95eda69973a809d1ec,False,5e9e4501f509094ba4566f84,Starlink-18,15600.0,Satellite,VLEO,SpaceX
Starlink-19 (v1.0),2021-02-16 03:59:00+00:00,True,600f9bc08f798e2a4d5f97a4,5e9d0d95eda69973a809d1ec,False,5e9e4501f509094ba4566f84,Starlink-19,15600.0,Satellite,VLEO,SpaceX
Starlink-17 (v1.0),2021-03-04 08:24:00+00:00,True,5fbfedc654ceb10a5664c814,5e9d0d95eda69973a809d1ec,False,5e9e4502f509094188566f88,Starlink-17,15600.0,Satellite,VLEO,SpaceX
Starlink-20 (v1.0),2021-03-11 08:13:00+00:00,True,600f9bcb8f798e2a4d5f97a5,5e9d0d95eda69973a809d1ec,False,5e9e4501f509094ba4566f84,Starlink-20,15600.0,Satellite,VLEO,SpaceX
Starlink-21 (v1.0),2021-03-14 10:01:00+00:00,True,600f9bd88f798e2a4d5f97a6,5e9d0d95eda69973a809d1ec,False,5e9e4502f509094188566f88,Starlink-21,15600.0,Satellite,VLEO,SpaceX
Starlink-22 (v1.0),2021-03-24 08:28:00+00:00,True,60428afbc041c16716f73cdd,5e9d0d95eda69973a809d1ec,False,5e9e4501f509094ba4566f84,Starlink-22,15600.0,Satellite,VLEO,SpaceX
Starlink-23 (v1.0),2021-04-07 16:34:00+00:00,True,60428b02c041c16716f73cde,5e9d0d95eda69973a809d1ec,False,5e9e4501f509094ba4566f84,Starlink-23,15600.0,Satellite,VLEO,SpaceX
Crew-2,2021-04-23 09:49:00+00:00,True,5fe3b3adb3467846b3242173,5e9d0d95eda69973a809d1ec,False,5e9e4502f509094188566f88,Crew-2,4701.5,Crew Dragon,ISS,NASA (CCtCap)
Starlink-24 (v1.0),2021-04-29 03:44:00+00:00,True,605b4be3aa5433645e37d046,5e9d0d95eda69973a809d1ec,False,5e9e4501f509094ba4566f84,Starlink-24,15600.0,Satellite,VLEO,SpaceX
Starlink-25 (v1.0),2021-05-04 19:01:00+00:00,True,605b4befaa5433645e37d047,5e9d0d95eda69973a809d1ec,False,5e9e4502f509094188566f88,Starlink-25,15600.0,Satellite,VLEO,SpaceX
Starlink-27 (v1.0),2021-05-09 06:42:00+00:00,True,6079bd5e9a06446e8c61bf7c,5e9d0d95eda69973a809d1ec,False,5e9e4501f509094ba4566f84,Starlink-27,15600.0,Satellite,VLEO,SpaceX
Starlink-26 (v1.0) + Capella-6 + Tyvak-0130,2021-05-15 22:54:00+00:00,True,605b4bfcaa5433645e37d048,5e9d0d95eda69973a809d1ec,False,5e9e4502f509094188566f88,Starlink-26,13520.0,Satellite,VLEO,SpaceX
Starlink-26 (v1.0) + Capella-6 + Tyvak-0130,2021-05-15 22:54:00+00:00,True,609f48374a12e4692eae4667,5e9d0d95eda69973a809d1ec,False,5e9e4502f509094188566f88,Capella-6,112.0,Satellite,LEO,Capella Space
Starlink-26 (v1.0) + Capella-6 + Tyvak-0130,2021-05-15 22:54:00+00:00,True,609f49c64a12e4692eae4668,5e9d0d95eda69973a809d1ec,False,5e9e4502f509094188566f88,Tyvak-0130,4701.5,Satellite,LEO,"Tyvak Nano-Satellite Systems Inc, NOAA"
Starlink-28 (v1.0),2021-05-26 18:59:00+00:00,True,6079bd679a06446e8c61bf7d,5e9d0d95eda69973a809d1ec,False,5e9e4501f509094ba4566f84,Starlink-28,15600.0,Satellite,VLEO,SpaceX
CRS-22 & IROSA,2021-06-03 17:29:00+00:00,True,5fe3b642b3467846b324217b,5e9d0d95eda69973a809d1ec,False,5e9e4502f509094188566f88,CRS-22,3328.0,Dragon 2.0,ISS,NASA (CRS)
